PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,Toluene,AQI,year,month,day,weekday,dayofyear,Date,City
40.97,72.23,39.32,13.29,57.08,26.07,1.13,3.53,2.01,80.0,2020.0,2.0,3.0,0.0,34.0,2020-02-03,Ernakulam
13.71,27.82,0.89,4.12,7.48,1.04,0.82,2.75,2.7123025121729825,58.0,2019.0,9.0,7.0,5.0,250.0,2019-09-07,Thiruvananthapuram
46.96,93.10865565008612,10.18,14.46,12.92,23.138430693519695,0.03,4.9,0.0,99.0,2017.0,7.0,16.0,6.0,197.0,2017-07-16,Chennai
41.22,48.55,7.44,19.57,20.43,16.98,0.99,10.2,0.47,91.0,2019.0,6.0,19.0,2.0,170.0,2019-06-19,Chennai
63.852838392763076,128.49630709291705,14.975800327101348,27.997246648372084,29.284450962508572,23.465700752481553,1.101430406680714,11.016994307287632,6.165980875086007,161.76965162261786,2017.0,10.0,3.0,1.0,276.0,2017-10-03,Jorapokhar
100.78,200.77152160390574,15.76,30.89,36.93,30.109818298951723,1.45,6.84,6.746669345530108,285.0,2018.0,1.0,20.0,5.0,20.0,2018-01-20,Gurugram
54.63,103.16,4.8,38.84,23.63,10.34,0.52,8.73,16.75,95.0,2018.0,11.0,7.0,2.0,311.0,2018-11-07,Hyderabad
67.63,152.46,21.36,36.61,53.44,29.89,1.14,17.04,7.91,123.0,2016.0,3.0,16.0,2.0,76.0,2016-03-16,Delhi
107.26,201.08,21.52,33.82,42.98,27.92,2.86,11.82,11.03,340.0,2015.0,3.0,25.0,2.0,84.0,2015-03-25,Delhi
146.7,269.95,41.43,76.42499999999998,81.08874999999999,35.36,2.15,15.48,21.975,286.0,2020.0,1.0,14.0,1.0,14.0,2020-01-14,Kolkata
75.55,150.46,4.44,44.72,27.09,22.12,0.74,13.59,21.975,152.0,2019.0,1.0,16.0,2.0,16.0,2019-01-16,Hyderabad
24.29,59.49,3.02,13.18,13.74,8.84,0.77,6.93,1.48,78.0,2020.0,5.0,10.0,6.0,131.0,2020-05-10,Bengaluru
57.21682832416741,117.2485035981515,10.52,26.52,20.81,12.44,0.57,1.64,2.44,128.68760459210534,2015.0,2.0,11.0,2.0,42.0,2015-02-11,Bengaluru
119.16,221.20455698788555,9.45,49.47,4.22,37.86249679004936,1.36,6.84,0.37,254.0,2016.0,4.0,11.0,0.0,102.0,2016-04-11,Lucknow
14.99,73.18085983917058,5.5,12.44,10.43,31.7,2.86,2.19,21.975,175.0,2015.0,9.0,14.0,0.0,257.0,2015-09-14,Bengaluru
44.91,80.85,9.8,14.58,20.74,47.94,0.54,5.87,1.68,57.0,2019.0,11.0,16.0,5.0,320.0,2019-11-16,Chennai
60.41,112.53,32.1,38.15,70.0,14.92,0.81,3.2,2.74,124.0,2018.0,11.0,9.0,4.0,313.0,2018-11-09,Amritsar
119.91,225.7518256090732,32.38,5.79,38.18,30.314034741489195,1.47,10.54,0.77,285.0,2016.0,4.0,16.0,5.0,107.0,2016-04-16,Patna
44.18,81.77,7.49,20.98,28.47,11.54,0.48,4.01,13.75,91.0,2019.0,7.0,18.0,3.0,199.0,2019-07-18,Kolkata
62.45153693204469,124.5670324488865,15.100448272665416,28.07438302451692,29.407694687173034,23.02660165954353,1.0946029939519066,10.84540069458751,6.418818620852676,158.86384902986174,2017.0,12.0,6.0,2.0,340.0,2017-12-06,Thiruvananthapuram
33.68,69.00389102592408,3.37,26.0,16.003906146090003,21.16541833979204,2.7,4.52,2.74,96.0,2017.0,9.0,4.0,0.0,247.0,2017-09-04,Gurugram
41.5,79.25078600191637,1.48,31.37,14.591305895252162,21.48363113975188,0.0,7.35,0.0,76.0,2017.0,8.0,6.0,6.0,218.0,2017-08-06,Gurugram
